trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
757,False,"{'a': 0.001, 'e': 0.7268995102164897}",25,13,11.994124682507588,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
758,False,"{'a': 0.001, 'e': 0.7262124030410263}",20,12,-80.84478290521359,"{0: 4, 1: 1, 2: 0, 3: 2, 4: 1}",1
759,False,"{'a': 0.001, 'e': 0.7255245696532203}",20,3,-14.132065896093426,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 0}",1
760,False,"{'a': 0.001, 'e': 0.7248360107409052}",30,4,-27.868087147565536,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 1}",1
761,False,"{'a': 0.001, 'e': 0.7241467269926397}",25,0,-97.1697787594801,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",1
762,False,"{'a': 0.001, 'e': 0.7234567190977075}",25,0,-141.04590127537998,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
763,False,"{'a': 0.001, 'e': 0.7227659877461166}",25,0,-21.303924278199016,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
764,False,"{'a': 0.001, 'e': 0.7220745336285982}",20,0,-102.52692997878512,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
765,False,"{'a': 0.001, 'e': 0.7213823574366063}",25,16,-5.897026435742739,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
766,False,"{'a': 0.001, 'e': 0.720689459862317}",30,0,-105.18530419394511,"{0: 23, 1: 0, 2: 5, 3: 0, 4: 2}",0
767,False,"{'a': 0.001, 'e': 0.719995841598628}",20,0,-72.71653530189211,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
768,False,"{'a': 0.001, 'e': 0.7193015033391573}",20,0,-61.46899537466162,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
769,False,"{'a': 0.001, 'e': 0.7186064457782433}",20,3,-9.148776744413192,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
770,False,"{'a': 0.001, 'e': 0.7179106696109434}",20,0,-112.7483236163197,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
771,False,"{'a': 0.001, 'e': 0.7172141755330337}",25,7,-56.29924458632121,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 0}",1
772,False,"{'a': 0.001, 'e': 0.7165169642410081}",20,0,-50.28121953216415,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
773,False,"{'a': 0.001, 'e': 0.7158190364320781}",20,0,-52.664895817924965,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
774,False,"{'a': 0.001, 'e': 0.7151203928041714}",30,0,-45.63706717765444,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",0
775,False,"{'a': 0.001, 'e': 0.7144210340559313}",20,0,-25.17721907347768,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
776,False,"{'a': 0.001, 'e': 0.7137209608867168}",20,0,-46.003202132974096,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
777,False,"{'a': 0.001, 'e': 0.7130201739966009}",30,20,6.717826386293574,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
778,False,"{'a': 0.001, 'e': 0.7123186740863704}",20,0,-12.606353293800034,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
779,False,"{'a': 0.001, 'e': 0.7116164618575251}",20,12,-13.63420662579312,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
780,False,"{'a': 0.001, 'e': 0.7109135380122773}",25,17,-5.75188925357126,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
781,False,"{'a': 0.001, 'e': 0.7102099032535507}",20,1,-66.61498442242808,"{0: 13, 1: 1, 2: 2, 3: 3, 4: 0}",1
782,False,"{'a': 0.001, 'e': 0.7095055582849801}",30,4,-92.83393790281933,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 2}",1
783,False,"{'a': 0.001, 'e': 0.7088005038109104}",25,11,-22.193876180678462,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 0}",1
784,False,"{'a': 0.001, 'e': 0.7080947405363958}",20,6,-80.51887835445986,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 2}",1
